Time_s,RSS,PID,Command
0.0,219.1,27805,spring-boot-ben
0.6,217.4,27805,spring-boot-ben
1.1,227.9,27805,spring-boot-ben
1.6,236.5,27805,spring-boot-ben
2.1,226.0,27805,spring-boot-ben
2.7,231.9,27805,spring-boot-ben
3.2,237.2,27805,spring-boot-ben
3.7,227.3,27805,spring-boot-ben
4.2,236.2,27805,spring-boot-ben
4.8,242.8,27805,spring-boot-ben
5.3,244.9,27805,spring-boot-ben
5.8,231.8,27805,spring-boot-ben
6.3,233.6,27805,spring-boot-ben
6.9,244.0,27805,spring-boot-ben
7.4,233.8,27805,spring-boot-ben
7.9,235.2,27805,spring-boot-ben
8.4,237.1,27805,spring-boot-ben
9.0,221.7,27805,spring-boot-ben
9.5,224.4,27805,spring-boot-ben
10.0,234.6,27805,spring-boot-ben
10.6,220.6,27805,spring-boot-ben
11.1,231.8,27805,spring-boot-ben
11.6,238.5,27805,spring-boot-ben
12.1,230.0,27805,spring-boot-ben
12.7,232.8,27805,spring-boot-ben
13.2,224.1,27805,spring-boot-ben
13.7,226.9,27805,spring-boot-ben
14.2,222.8,27805,spring-boot-ben
14.8,224.9,27805,spring-boot-ben
15.3,235.1,27805,spring-boot-ben
15.8,221.2,27805,spring-boot-ben
16.3,228.4,27805,spring-boot-ben
16.9,229.0,27805,spring-boot-ben
17.4,230.7,27805,spring-boot-ben
17.9,219.0,27805,spring-boot-ben
18.4,221.7,27805,spring-boot-ben
19.0,220.0,27805,spring-boot-ben
19.5,224.8,27805,spring-boot-ben
20.0,236.0,27805,spring-boot-ben
20.6,225.4,27805,spring-boot-ben
21.1,227.1,27805,spring-boot-ben
21.6,231.4,27805,spring-boot-ben
22.1,233.2,27805,spring-boot-ben
22.7,223.9,27805,spring-boot-ben
23.2,230.6,27805,spring-boot-ben
23.7,224.0,27805,spring-boot-ben
24.2,226.7,27805,spring-boot-ben
24.8,229.0,27805,spring-boot-ben
25.3,230.3,27805,spring-boot-ben
25.8,219.5,27805,spring-boot-ben
26.3,229.7,27805,spring-boot-ben
26.9,219.5,27805,spring-boot-ben
27.4,222.7,27805,spring-boot-ben
27.9,224.5,27805,spring-boot-ben
28.5,226.2,27805,spring-boot-ben
29.0,216.5,27805,spring-boot-ben
29.5,226.2,27805,spring-boot-ben
30.0,219.2,27805,spring-boot-ben
30.6,224.4,27805,spring-boot-ben
31.1,236.1,27805,spring-boot-ben
31.6,224.5,27805,spring-boot-ben
32.1,218.7,27805,spring-boot-ben
32.7,223.9,27805,spring-boot-ben
33.2,235.6,27805,spring-boot-ben
33.7,233.0,27805,spring-boot-ben
34.2,234.3,27805,spring-boot-ben
34.8,224.1,27805,spring-boot-ben
35.3,225.8,27805,spring-boot-ben
35.8,223.5,27805,spring-boot-ben
36.3,225.2,27805,spring-boot-ben
36.9,227.2,27805,spring-boot-ben
37.4,228.9,27805,spring-boot-ben
37.9,217.7,27805,spring-boot-ben
38.4,221.3,27805,spring-boot-ben
39.0,219.2,27805,spring-boot-ben
39.5,221.9,27805,spring-boot-ben
40.0,238.7,27805,spring-boot-ben
40.5,224.0,27805,spring-boot-ben
41.1,231.1,27805,spring-boot-ben
41.6,233.5,27805,spring-boot-ben
42.1,234.8,27805,spring-boot-ben
42.6,224.6,27805,spring-boot-ben
43.2,227.3,27805,spring-boot-ben
43.7,230.6,27805,spring-boot-ben
