Time_s,RSS,PID,Command
0.0,206.1,23858,spring-boot-ben
0.6,220.3,23858,spring-boot-ben
1.1,215.7,23858,spring-boot-ben
1.6,239.8,23858,spring-boot-ben
2.1,222.2,23858,spring-boot-ben
2.7,232.5,23858,spring-boot-ben
3.2,230.0,23858,spring-boot-ben
3.7,236.1,23858,spring-boot-ben
4.3,232.0,23858,spring-boot-ben
4.8,239.8,23858,spring-boot-ben
5.3,237.5,23858,spring-boot-ben
5.9,244.7,23858,spring-boot-ben
6.4,240.0,23858,spring-boot-ben
6.9,246.8,23858,spring-boot-ben
7.4,253.8,23858,spring-boot-ben
8.0,242.9,23858,spring-boot-ben
8.5,245.2,23858,spring-boot-ben
9.0,247.6,23858,spring-boot-ben
9.5,259.4,23858,spring-boot-ben
10.1,247.8,23858,spring-boot-ben
10.6,249.2,23858,spring-boot-ben
11.1,239.8,23858,spring-boot-ben
11.7,241.2,23858,spring-boot-ben
12.2,253.2,23858,spring-boot-ben
12.7,267.1,23858,spring-boot-ben
13.3,256.8,23858,spring-boot-ben
13.8,256.7,23858,spring-boot-ben
14.3,246.9,23858,spring-boot-ben
14.8,248.3,23858,spring-boot-ben
15.4,240.2,23858,spring-boot-ben
15.9,238.4,23858,spring-boot-ben
16.4,259.9,23858,spring-boot-ben
17.0,256.5,23858,spring-boot-ben
17.5,256.4,23858,spring-boot-ben
18.0,247.9,23858,spring-boot-ben
18.6,249.3,23858,spring-boot-ben
19.1,241.5,23858,spring-boot-ben
19.6,252.9,23858,spring-boot-ben
20.1,258.9,23858,spring-boot-ben
20.7,250.0,23858,spring-boot-ben
21.2,250.3,23858,spring-boot-ben
21.7,242.4,23858,spring-boot-ben
22.3,244.8,23858,spring-boot-ben
22.8,242.9,23858,spring-boot-ben
23.3,252.9,23858,spring-boot-ben
23.8,252.8,23858,spring-boot-ben
24.4,250.9,23858,spring-boot-ben
24.9,243.9,23858,spring-boot-ben
25.4,245.3,23858,spring-boot-ben
26.0,257.0,23858,spring-boot-ben
26.5,257.6,23858,spring-boot-ben
27.0,264.1,23858,spring-boot-ben
27.6,254.6,23858,spring-boot-ben
28.1,254.1,23858,spring-boot-ben
28.6,246.5,23858,spring-boot-ben
29.2,262.7,23858,spring-boot-ben
29.7,277.0,23858,spring-boot-ben
30.2,276.1,23858,spring-boot-ben
30.7,267.0,23858,spring-boot-ben
31.3,267.4,23858,spring-boot-ben
31.8,258.1,23858,spring-boot-ben
32.3,258.1,23858,spring-boot-ben
32.9,249.1,23858,spring-boot-ben
33.4,243.0,23858,spring-boot-ben
33.9,245.0,23858,spring-boot-ben
34.4,248.5,23858,spring-boot-ben
35.0,242.0,23858,spring-boot-ben
35.5,256.9,23858,spring-boot-ben
36.0,254.1,23858,spring-boot-ben
36.6,263.8,23858,spring-boot-ben
37.1,269.8,23858,spring-boot-ben
37.6,271.4,23858,spring-boot-ben
38.1,259.1,23858,spring-boot-ben
38.7,250.0,23858,spring-boot-ben
39.2,249.9,23858,spring-boot-ben
39.7,243.6,23858,spring-boot-ben
40.3,257.0,23858,spring-boot-ben
40.8,263.1,23858,spring-boot-ben
41.3,254.6,23858,spring-boot-ben
41.8,254.1,23858,spring-boot-ben
42.4,246.1,23858,spring-boot-ben
42.9,253.0,23858,spring-boot-ben
43.4,259.1,23858,spring-boot-ben
44.0,250.6,23858,spring-boot-ben
44.5,250.5,23858,spring-boot-ben
45.0,243.5,23858,spring-boot-ben
45.6,243.6,23858,spring-boot-ben
46.1,255.5,23858,spring-boot-ben
46.6,247.4,23858,spring-boot-ben
47.2,264.0,23858,spring-boot-ben
47.7,252.7,23858,spring-boot-ben
48.2,244.5,23858,spring-boot-ben
48.7,246.4,23858,spring-boot-ben
49.3,239.6,23858,spring-boot-ben
49.8,252.2,23858,spring-boot-ben
50.3,265.0,23858,spring-boot-ben
50.9,256.1,23858,spring-boot-ben
51.4,256.0,23858,spring-boot-ben
51.9,248.5,23858,spring-boot-ben
52.4,242.1,23858,spring-boot-ben
53.0,250.5,23858,spring-boot-ben
53.5,261.8,23858,spring-boot-ben
54.0,261.8,23858,spring-boot-ben
54.6,253.1,23858,spring-boot-ben
55.1,246.1,23858,spring-boot-ben
55.6,247.5,23858,spring-boot-ben
56.2,252.2,23858,spring-boot-ben
56.7,257.5,23858,spring-boot-ben
57.2,259.5,23858,spring-boot-ben
57.7,249.1,23858,spring-boot-ben
58.3,249.7,23858,spring-boot-ben
58.8,250.6,23858,spring-boot-ben
59.3,265.6,23858,spring-boot-ben
59.8,279.8,23858,spring-boot-ben
60.4,278.2,23858,spring-boot-ben
60.9,269.3,23858,spring-boot-ben
61.4,269.2,23858,spring-boot-ben
62.0,260.2,23858,spring-boot-ben
62.5,260.1,23858,spring-boot-ben
63.0,251.0,23858,spring-boot-ben
63.6,244.2,23858,spring-boot-ben
64.1,246.6,23858,spring-boot-ben
64.6,257.2,23858,spring-boot-ben
65.1,248.7,23858,spring-boot-ben
65.7,249.1,23858,spring-boot-ben
66.2,242.2,23858,spring-boot-ben
66.7,257.1,23858,spring-boot-ben
67.3,256.9,23858,spring-boot-ben
67.8,253.2,23858,spring-boot-ben
68.3,252.7,23858,spring-boot-ben
68.8,258.1,23858,spring-boot-ben
69.4,258.1,23858,spring-boot-ben
69.9,249.7,23858,spring-boot-ben
70.4,250.2,23858,spring-boot-ben
71.0,256.2,23858,spring-boot-ben
71.5,248.3,23858,spring-boot-ben
72.0,249.6,23858,spring-boot-ben
72.6,254.1,23858,spring-boot-ben
73.1,246.7,23858,spring-boot-ben
73.6,249.1,23858,spring-boot-ben
74.1,252.7,23858,spring-boot-ben
74.7,245.7,23858,spring-boot-ben
75.2,246.7,23858,spring-boot-ben
75.7,260.0,23858,spring-boot-ben
76.3,266.1,23858,spring-boot-ben
76.8,257.2,23858,spring-boot-ben
77.3,258.0,23858,spring-boot-ben
77.8,272.3,23858,spring-boot-ben
78.4,272.3,23858,spring-boot-ben
78.9,262.9,23858,spring-boot-ben
79.4,253.8,23858,spring-boot-ben
80.0,253.8,23858,spring-boot-ben
80.5,245.8,23858,spring-boot-ben
81.0,247.2,23858,spring-boot-ben
